title,url
Bağışıklık Sistemi Koronavirüs ile Nasıl Mücadele Eder?,https://www.acibadem.com.tr/ilgi-alani/bagisiklik-sistemi-koronavirus-ile-nasil-mucadele-eder/
"Bilim Kurulu Üyesi Akın: ""Hava sıcak virüs bulaşmaz"" diye bir kavram yok",https://www.trthaber.com/haber/turkiye/bilim-kurulu-uyesi-akin-hava-sicak-virus-bulasmaz-diye-bir-kavram-yok-585776.html
Gerçek mi efsane mi: Koronavirüs (COVID-19) hakkında ne kadar bilgi sahibisiniz?,https://www.unicef.org/turkey/ger%C3%A7ek-mi-efsane-mi-koronavir%C3%BCs-covid-19-hakk%C4%B1nda-ne-kadar-bilgi-sahibisiniz
Corona virüsüne karşı bağışıklık yıllarca devam edebilir,https://www.sozcu.com.tr/2021/saglik/corona-virusune-karsi-bagisiklik-yillarca-devam-edebilir-6453730/
Araştırma: Koronavirüs bağışıklığı 8 aya kadar sürüyor,https://www.cumhuriyet.com.tr/haber/arastirma-koronavirus-bagisikligi-8-aya-kadar-suruyor-1792507
"Sıcaklık ve Nem Seviyeleri, COVID-19 Pandemisine Sebep Olan SARS-CoV-2 Virüsünü Durdurabilir mi?",https://evrimagaci.org/sicaklik-ve-nem-seviyeleri-covid19-pandemisine-sebep-olan-sarscov2-virusunu-durdurabilir-mi-8924
Alman uzman: Koronavirüs bağışıklığı uzun sürmüyor,https://www.dw.com/tr/alman-uzman-koronavir%C3%BCs-ba%C4%9F%C4%B1%C5%9F%C4%B1kl%C4%B1%C4%9F%C4%B1-uzun-s%C3%BCrm%C3%BCyor/a-55438739
Koronavirüs bağışıklığı beş ay sonra sona erebilir,https://www.hurriyet.com.tr/sosyal/tekno/koronavirus-bagisikligi-bes-ay-sonra-sona-erebilir-41714211
New York Times: Corona virüse karşı bağışıklık yıllarca sürebilir,"https://www.ntv.com.tr/galeri/saglik/new-york-times-corona-viruse-karsi-bagisiklik-yillarca-surebilir,PEp9p1aJ-E2lSsC3YhXLlA"
İngiltere pazartesine kadar Kovid-19'da sürü bağışıklığı eşiğini geçecek,https://www.aa.com.tr/tr/koronavirus/ingiltere-pazartesine-kadar-kovid-19da-suru-bagisikligi-esigini-gececek/2202530
Koronavirüs bağışıklığı kansere karşı koruyor,https://www.cnnturk.com/saglik/koronavirus-bagisikligi-kansere-karsi-koruyor
KORONAVİRÜSE KARŞI BAĞIŞIKLIĞI GÜÇLENDİREN 10 ÖNERİ,https://www.birunihastanesi.com.tr/koronaviruse-karsi-bagisikligi-guclendiren-10-oneri/
COVID-19 Hastalığına Bağışıklık En Az 6 Ay Sürüyor!,https://evrimagaci.org/covid19-hastaligina-bagisiklik-en-az-6-ay-suruyor-9610
İngiltere'de sürü bağışıklığı için tarih verildi,https://www.trthaber.com/haber/dunya/ingilterede-suru-bagisikligi-icin-tarih-verildi-571274.html
Prof. Dr. Yıldız açıkladı! Toplumun yüzde 50'si koronavirüse bağışıklık kazandı - Haberler,https://www.haberturk.com/prof-dr-yildiz-acikladi-koronaya-karsi-bagisiklik-orani-belli-oldu-haberler-3019076
Koronavirüs (Coronavirus) Nedir? Koronavirüs Belirtiler Nelerdir?,https://www.acibadem.com.tr/koronavirus/
ABD'de bir günde 218 can kaybı,https://www.trthaber.com/haber/dunya/abdde-bir-gunde-218-can-kaybi-600586.html
Afrika'da COVID-19'dan ölenlerin sayısı 177 bin 81'e çıktı,https://www.trthaber.com/haber/dunya/afrikada-covid-19dan-olenlerin-sayisi-177-bin-81e-cikti-600578.html
Corona virüsü aşısında büyük umut: Bilim insanları kan pıhtısı sorununu çözüyor,https://www.sozcu.com.tr/2021/saglik/corona-virusu-asisinda-buyuk-umut-bilim-insanlari-kan-pihtisi-sorununu-cozuyor-6453119/?utm_source=ilgili_haber&utm_medium=free&utm_campaign=ilgilihaber
